Sample file ID	Sample Number	Study ID	Sample Name	Barcode	ELISA date	Plate Number	Notes
							
1	1	XSEC	1S	XS0145	16.09.2015	1	
1	2	XSEC	2S	XS0129	16.09.2015	1	
1	3	XSEC	3S	XS0128	16.09.2015	1	
1	4	XSEC	4S	XS0136	16.09.2015	1	
1	5	XSEC	5S	XS0135	16.09.2015	1	
1	6	XSEC	6S	XS0254	16.09.2015	1	
1	7	XSEC	7S	XS0125	16.09.2015	1	
1	8	XSEC	8S	XS0253	16.09.2015	1	
1	9	XSEC	9S	XS0255	16.09.2015	1	
1	10	XSEC	10S	XS0224	16.09.2015	1	
1	11	XSEC	11S	XS0220	16.09.2015	1	
1	12	XSEC	12S	XS0258	16.09.2015	1	
1	13	XSEC	13S	XS0267	16.09.2015	1	
1	14	XSEC	14S	XS0256	16.09.2015	1	
1	15	XSEC	15S	XS0227	16.09.2015	1	
1	16	XSEC	16S	XS0225	16.09.2015	1	
1	17	XSEC	17S	XS0226	16.09.2015	1	
1	18	XSEC	18S	XS0221	16.09.2015	1	
1	19	XSEC	19S	XS0222	16.09.2015	1	
1	20	XSEC	20S	XS0269	16.09.2015	1	
1	21	XSEC	21S	XS0223	16.09.2015	1	
1	22	XSEC	22S	XS0126	16.09.2015	1	
1	23	XSEC	23S	XS0156	16.09.2015	1	
1	24	XSEC	24S	XS0165	16.09.2015	1	
1	25	XSEC	25S	XS0159	16.09.2015	1	
1	26	XSEC	26S	XS0155	16.09.2015	1	
1	27	XSEC	27S	XS0158	16.09.2015	1	
1	28	XSEC	28S	XS0157	16.09.2015	1	
1	29	XSEC	29S	XS0149	16.09.2015	1	
1	30	XSEC	30S	XS0148	16.09.2015	1	
1	31	Uganda	3POS	KPS2_1:640	16.09.2015	1	
1	32	UNAM_neg	NC_WE	NC_WE	16.09.2015	1	
1	33	UNAM_neg	NC_WE	NC_WE	16.09.2015	1	
1	34	UNAM_neg	NC_HMN	NC_HMN	16.09.2015	1	
1	35	UNAM_neg	NC_SC	NC_SC	16.09.2015	1	
1	36	UNAM_neg	NC_SC	NC_SC	16.09.2015	1	
1	37	UNAM_neg	NC_LJ	NC_LJ	16.09.2015	1	
1	38	UNAM_neg	NC_JCB	NC_JCB	16.09.2015	1	
1	39	UNAM_neg	NC_JCB	NC_JCB	16.09.2015	1	
1	40	Uganda	6POS	KPS2_1:40960	16.09.2015	1	
							
2	1		31S				
	2						
	3						
	4						
	5						
	6						
	7						
	8						
	9						
	10						
	11						
	12						
	13						
	14						
	15						
	16						
	17						
	18						
	19						
	20						
	21						
	22						
	23						
	24						
	25						
	26						
	27						
	28						
	29						
	30						
	31						
	32						
	33						
	34						
	35						
	36						
	37						
	38						
	39						
	40						
