"Sample.Name","Barcode","Notes","Conc","SD","coef_of_var"
1,"xs1",NA,0,0,0
2,"xs2",NA,0.000470989111234676,9.11177672163818e-05,0.193460453846843
3,"xs3",NA,0.0181976188760641,0.00334819020387773,0.183990566385677
4,"xs4",NA,0.00333168205266216,0.000389254223338157,0.116834144790955
5,"xs5",NA,0.00270750447076782,0.000611911178338313,0.226005602186423
6,"xs6",NA,0.00229028324466406,0.000286103890741338,0.124920745679779
7,"xs7",NA,0.000762621870558676,0.000258706658907049,0.339233201793082
8,"xs8",NA,0.00137216371234279,0.000359975005627752,0.262341149521539
9,"xs9",NA,0.0174888659357984,0.00951549841818473,0.544088933674493
10,"xs10",NA,0.0318364975266826,0.0078753027412473,0.247367121167989
11,"xs11",NA,0.0194127610987106,0.0141329472035566,0.728023547587743
12,"xs12",NA,0.000151941582523688,0.000214877846693431,1.41421356237309
13,"xs13",NA,0.00815157525121626,0.00129259292262592,0.158569709877003
14,"xs14",NA,0.00551921423481992,0.000544483515846502,0.0986523611298571
15,"xs15",NA,0.00404965041489376,0.000648429740959502,0.160119930000554
16,"xs16",NA,0.0130550131825882,0.00529875058768438,0.405878608744069
17,"xs17",NA,0.00124977418121867,0.000653509276680492,0.522901886197752
18,"xs18",NA,0.0246980917243972,0.00991561028654778,0.401472729034891
19,"xs19",NA,0.0120997842583933,0.00264605004088186,0.218685720701704
20,"xs20",NA,0.00166363769617946,0.000317085045406015,0.190597415611705
21,"xs21",NA,0.0068156974857234,0.000385365943366466,0.0565409401126852
22,"xs22",NA,0.00175155444312195,0.000334938718129254,0.191223698152519
23,"xs23",NA,0.000398501487798754,0.000165397092926981,0.415047617113309
24,"xs24",NA,0.00419756526478385,0.000943539666134814,0.224782607682313
25,"xs25",NA,0.0109609649350123,0.000256827291925393,0.0234310841653198
26,"xs26",NA,0.000274391367649495,4.01723703755042e-05,0.146405372441673
27,"xs27",NA,0.00673581795656456,0.0022295443113908,0.330998302770035
28,"xs28",NA,0.0234291044173913,8.76643727135914e-05,0.00374168688447683
29,"xs29",NA,0.0512068102409622,0.0265347296909772,0.518187513850474
30,"xs30",NA,0.00459960875778067,0.000526836657427947,0.114539450020994
31,"xs31",NA,0.29120047932196,0.049539190946318,0.170120568007534
32,"xs32",NA,0.0151116997983616,0.0028421194789531,0.188074109258128
33,"xs33",NA,0.0113555138170974,0.00347998827720043,0.306458019712046
34,"xs34",NA,0.00776842242968773,0.00120608448782402,0.155254750721956
35,"xs35",NA,0.0122722864937567,0.00237562455402686,0.193576360463506
36,"xs36",NA,0.010488265393444,0.000424065997100661,0.0404324243516699
37,"xs37",NA,0.0120758741481178,0.00247172440597151,0.204682855721609
38,"xs38",NA,0.0193394353261881,0.00461308270435309,0.238532440402041
39,"xs39",NA,0.0312177041557903,0.00159713691263649,0.0511612546735039
40,"xs40",NA,15,0,0
41,"xs41",NA,0.000579340901278461,4.19504509406877e-06,0.00724106494951651
42,"xs42",NA,0.000986508601900987,0.000468756561444572,0.475167231731467
43,"xs43",NA,0.00405063651584743,3.45755297360582e-06,0.000853582630798574
44,"xs44",NA,0.0721437922501179,0.0589795284212282,0.81752742102536
45,"xs45",NA,0,0,0
46,"xs46",NA,0.0013696337772624,0.000365827139034457,0.2670985084536
47,"xs47",NA,0.00125453951432071,0.000141939636263994,0.113140825493129
48,"xs48",NA,0.00119767843000372,0.000380233292645046,0.317475278104378
49,"xs49",NA,0.000589400733787359,0.000392407579565518,0.665773822580766
50,"xs50",NA,0.00217047980549913,0.000547362140972558,0.252184857737796
51,"xs51",NA,0.000687831534544586,0.000384567656961366,0.559101520717552
52,"xs52",NA,0.000273478721824261,0.000118777314728523,0.434320132609256
53,"xs53",NA,3.47617960679844e-05,4.91606034517913e-05,1.4142135623731
54,"xs54",NA,0.000714566848606213,0.000510212379863197,0.714016303524833
55,"xs55",NA,0.00272704684351168,0.000183149523523586,0.0671603877870099
56,"xs56",NA,9.44217945400186e-05,0.0001335325824221,1.41421356237309
57,"xs57",NA,0.00729497685360699,0.00481834346097264,0.660501542042621
58,"xs58",NA,0.000780424779240616,0.000361766282036637,0.463550481301541
59,"xs59",NA,0.00019155602656166,0.0002709011307178,1.4142135623731
60,"xs60",NA,0.00250836198977768,0.000314694811264585,0.12545829212333
61,"xs61",NA,0.00114751189793851,0.000138387320851809,0.120597721993489
62,"xs62",NA,0.00134489785488784,0.000680987844410148,0.50634911932917
63,"xs63",NA,0.000612155252315275,5.81564620914313e-05,0.0950027985081786
64,"xs64",NA,0.0194517775960494,0.00322786381999583,0.165941842798542
65,"xs65",NA,0.00443608062445886,0.00104526459577584,0.235627952750147
66,"xs66",NA,0.00116967082783508,6.73465258550733e-05,0.0575773322309179
67,"xs67",NA,0.00117070546352977,0.000225669213514021,0.192763440971404
68,"xs68",NA,0.00398614846529011,0.00110443492737823,0.277068186745988
69,"xs69",NA,0.0133616129708541,0.000326619902597456,0.0244446462646326
70,"xs70",NA,0.00234535884713572,0.000476522754287353,0.203176906113668
71,"xs71",NA,2.22595450080902,2.41417115241756,1.08455548015026
