Dilution Plate Number	Dilution Plate Well	Sample Number	Study ID	Sample Name	ELISA date	ELISA Name	Notes
1	A03	1				1_a	
1	A04	2				1_a	
1	A05	3				1_a	
1	A06	4				1_a	
1	A07	5				1_a	
1	A08	6				1_a	
1	A09	7				1_a	
1	A10	8				1_a	
1	A11	9				1_a	
1	A12	10				1_a	
1	B03	11				1_a	
1	B04	12				1_a	
1	B05	13				1_a	
1	B06	14				1_a	
1	B07	15				1_a	
1	B08	16				1_a	
1	B09	17				1_a	
1	B10	18				1_a	
1	B11	19				1_a	
1	B12	20				1_a	
1	C03	21				1_a	
1	C04	22				1_a	
1	C05	23				1_a	
1	C06	24				1_a	
1	C07	25				1_a	
1	C08	26				1_a	
1	C09	27				1_a	
1	C10	28				1_a	
1	C11	29				1_a	
1	C12	30				1_a	
1	D03	31				1_a	
1	D04	32				1_a	
1	D05	33				1_a	
1	D06	34				1_a	
1	D07	35				1_a	
1	D08	36				1_a	
1	D09	37				1_a	
1	D10	38				1_a	
1	D11	39				1_a	
1	D12	40				1_a	
1	E03	41				1_b	
1	E04	42				1_b	
1	E05	43				1_b	
1	E06	44				1_b	
1	E07	45				1_b	
1	E08	46				1_b	
1	E09	47				1_b	
1	E10	48				1_b	
1	E11	49				1_b	
1	E12	50				1_b	
1	F03	51				1_b	
1	F04	52				1_b	
1	F05	53				1_b	
1	F06	54				1_b	
1	F07	55				1_b	
1	F08	56				1_b	
1	F09	57				1_b	
1	F10	58				1_b	
1	F11	59				1_b	
1	F12	60				1_b	
1	G03	61				1_b	
1	G04	62				1_b	
1	G05	63				1_b	
1	G06	64				1_b	
1	G07	65				1_b	
1	G08	66				1_b	
1	G09	67				1_b	
1	G10	68				1_b	
1	G11	69				1_b	
1	G12	70				1_b	
1	H03	71				1_b	
1	H04	72				1_b	
1	H05	73				1_b	
1	H06	74				1_b	
1	H07	75				1_b	
1	H08	76				1_b	
1	H09	77				1_b	
1	H10	78				1_b	
1	H11	79				1_b	
1	H12	80				1_b	
2	A03	81				2_a	
2	A04	82				2_a	
2	A05	83				2_a	
2	A06	84				2_a	
2	A07	85				2_a	
2	A08	86				2_a	
2	A09	87				2_a	
2	A10	88				2_a	
2	A11	89				2_a	
2	A12	90				2_a	
2	B03	91				2_a	
2	B04	92				2_a	
2	B05	93				2_a	
2	B06	94				2_a	
2	B07	95				2_a	
2	B08	96				2_a	
2	B09	97				2_a	
2	B10	98				2_a	
2	B11	99				2_a	
2	B12	100				2_a	
2	C03	101				2_a	
2	C04	102				2_a	
2	C05	103				2_a	
2	C06	104				2_a	
2	C07	105				2_a	
2	C08	106				2_a	
2	C09	107				2_a	
2	C10	108				2_a	
2	C11	109				2_a	
2	C12	110				2_a	
2	D03	111				2_a	
2	D04	112				2_a	
2	D05	113				2_a	
2	D06	114				2_a	
2	D07	115				2_a	
2	D08	116				2_a	
2	D09	117				2_a	
2	D10	118				2_a	
2	D11	119				2_a	
2	D12	120				2_a	
2	E03	121				2_b	
2	E04	122				2_b	
2	E05	123				2_b	
2	E06	124				2_b	
2	E07	125				2_b	
2	E08	126				2_b	
2	E09	127				2_b	
2	E10	128				2_b	
2	E11	129				2_b	
2	E12	130				2_b	
2	F03	131				2_b	
2	F04	132				2_b	
2	F05	133				2_b	
2	F06	134				2_b	
2	F07	135				2_b	
2	F08	136				2_b	
2	F09	137				2_b	
2	F10	138				2_b	
2	F11	139				2_b	
2	F12	140				2_b	
2	G03	141				2_b	
2	G04	142				2_b	
2	G05	143				2_b	
2	G06	144				2_b	
2	G07	145				2_b	
2	G08	146				2_b	
2	G09	147				2_b	
2	G10	148				2_b	
2	G11	149				2_b	
2	G12	150				2_b	
2	H03	151				2_b	
2	H04	152				2_b	
2	H05	153				2_b	
2	H06	154				2_b	
2	H07	155				2_b	
2	H08	156				2_b	
2	H09	157				2_b	
2	H10	158				2_b	
2	H11	159				2_b	
2	H12	160				2_b	
3	A03	161				3_a	
3	A04	162				3_a	
3	A05	163				3_a	
3	A06	164				3_a	
3	A07	165				3_a	
3	A08	166				3_a	
3	A09	167				3_a	
3	A10	168				3_a	
3	A11	169				3_a	
3	A12	170				3_a	
3	B03	171				3_a	
3	B04	172				3_a	
3	B05	173				3_a	
3	B06	174				3_a	
3	B07	175				3_a	
3	B08	176				3_a	
3	B09	177				3_a	
3	B10	178				3_a	
3	B11	179				3_a	
3	B12	180				3_a	
3	C03	181				3_a	
3	C04	182				3_a	
3	C05	183				3_a	
3	C06	184				3_a	
3	C07	185				3_a	
3	C08	186				3_a	
3	C09	187				3_a	
3	C10	188				3_a	
3	C11	189				3_a	
3	C12	190				3_a	
3	D03	191				3_a	
3	D04	192				3_a	
3	D05	193				3_a	
3	D06	194				3_a	
3	D07	195				3_a	
3	D08	196				3_a	
3	D09	197				3_a	
3	D10	198				3_a	
3	D11	199				3_a	
3	D12	200				3_a	
3	E03	201				3_b	
3	E04	202				3_b	
3	E05	203				3_b	
3	E06	204				3_b	
3	E07	205				3_b	
3	E08	206				3_b	
3	E09	207				3_b	
3	E10	208				3_b	
3	E11	209				3_b	
3	E12	210				3_b	
3	F03	211				3_b	
3	F04	212				3_b	
3	F05	213				3_b	
3	F06	214				3_b	
3	F07	215				3_b	
3	F08	216				3_b	
3	F09	217				3_b	
3	F10	218				3_b	
3	F11	219				3_b	
3	F12	220				3_b	
3	G03	221				3_b	
3	G04	222				3_b	
3	G05	223				3_b	
3	G06	224				3_b	
3	G07	225				3_b	
3	G08	226				3_b	
3	G09	227				3_b	
3	G10	228				3_b	
3	G11	229				3_b	
3	G12	230				3_b	
3	H03	231				3_b	
3	H04	232				3_b	
3	H05	233				3_b	
3	H06	234				3_b	
3	H07	235				3_b	
3	H08	236				3_b	
3	H09	237				3_b	
3	H10	238				3_b	
3	H11	239				3_b	
3	H12	240				3_b	
